Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2000/08/22 14:17:1.36,1.4,40.8258,14.1477,2.17,Revisionato
2000/08/22 15:05:56.84,1.6,40.8267,14.1487,2.75,Revisionato
2000/08/22 15:58:2.27,2.2,40.8278,14.1448,2.68,Revisionato
2000/08/22 17:31:35.54,1.9,40.8370,14.1527,0.06,Revisionato
2000/08/22 18:20:54.53,1.4,40.8255,14.1485,2.00,Revisionato
2002/12/25 06:35:59.16,1.0,40.8427,14.1608,2.00,Revisionato
2003/02/18 15:32:23.20,1.7,40.8330,14.1790,1.40,Revisionato
2003/03/02 06:58:11.27,0.9,40.8252,14.1462,1.87,Revisionato
2003/11/26 17:13:26.29,1.4,40.8172,14.1897,0.85,Revisionato
2005/03/22 17:08:20.13,0.4,40.8248,14.1517,1.39,Revisionato
2005/03/27 00:56:2.91,-0.5,40.8262,14.1473,1.00,Revisionato
2005/05/28 21:26:45.25,0.8,40.8313,14.1517,1.14,Revisionato
2005/06/08 01:08:12.34,0.4,40.8427,14.1938,2.00,Revisionato
2005/09/24 08:57:27.34,0.6,40.8430,14.1293,2.00,Revisionato
2005/10/05 12:38:34.80,0.7,40.8265,14.1475,2.00,Revisionato
2005/10/05 13:33:25.23,0.6,40.8340,14.1517,1.26,Revisionato
2005/10/05 15:26:40.78,-0.1,40.8323,14.1517,1.61,Revisionato
2005/10/05 16:18:1.93,1.1,40.8287,14.1517,2.28,Revisionato
2005/10/05 16:45:7.73,0.6,40.8373,14.1448,1.71,Revisionato
2005/11/05 06:16:18.44,1.2,40.8315,14.1570,3.24,Revisionato
2006/01/29 19:52:2.97,0.6,40.8418,14.1290,2.00,Revisionato
2006/02/06 09:33:14.60,0.4,40.8228,14.1772,2.00,Revisionato
2006/03/01 14:57:0.94,0.7,40.8498,14.1158,1.17,Revisionato
2006/04/08 07:09:32.87,0.9,40.8253,14.1455,1.57,Revisionato
2006/05/23 02:46:58.55,0.2,40.8292,14.1428,1.15,Revisionato
2006/08/29 00:47:11.20,0.6,40.8192,14.1402,2.00,Revisionato
2006/09/05 20:20:53.66,0.4,40.8227,14.1517,1.83,Revisionato
2006/09/13 01:12:4.74,0.5,40.8230,14.1402,0.33,Revisionato
2006/10/19 23:10:31.06,0.2,40.8213,14.1470,1.10,Revisionato
2006/10/20 09:51:11.83,0.4,40.8338,14.1442,0.21,Revisionato
2006/10/20 16:50:50.81,-0.1,40.8202,14.1442,1.33,Revisionato
2006/10/21 14:12:0.98,-0.3,40.8223,14.1517,1.61,Revisionato
